 Netflix Genre;DVD or Instant;URL
Action Thrillers starring Dolph Lundgren;Instant Watch;https://www.netflix.com/browse/genre/43369
Action Thrillers starring Eric Roberts;Instant Watch;https://www.netflix.com/browse/genre/43703
Action Thrillers starring Gene Hackman;Instant Watch;https://www.netflix.com/browse/genre/60662
Action Thrillers starring Jackie Chan;Instant Watch;https://www.netflix.com/browse/genre/43673
Action Thrillers starring Jason Statham;Instant Watch;https://www.netflix.com/browse/genre/61783
Action Thrillers starring Jean-Claude Van Damme;Instant Watch;https://www.netflix.com/browse/genre/43145
Action Thrillers starring Jet Li;Instant Watch;https://www.netflix.com/browse/genre/63865
Action Thrillers starring Keanu Reeves;Instant Watch;https://www.netflix.com/browse/genre/68794
Action Thrillers starring Lance Henriksen;Instant Watch;https://www.netflix.com/browse/genre/43918
Action Thrillers starring Laurence Fishburne;Instant Watch;https://www.netflix.com/browse/genre/88789
Action Thrillers starring Lou Diamond Phillips;Instant Watch;https://www.netflix.com/browse/genre/58462
Action Thrillers starring Mario Van Peebles;Instant Watch;https://www.netflix.com/browse/genre/73686
Action Thrillers starring Michael Ironside;Instant Watch;https://www.netflix.com/browse/genre/91899
Action Thrillers starring Michael Madsen;Instant Watch;https://www.netflix.com/browse/genre/43361
Action Thrillers starring Michael Paré;Instant Watch;https://www.netflix.com/browse/genre/61215
Action Thrillers starring Mickey Rourke;Instant Watch;https://www.netflix.com/browse/genre/80817
Action Thrillers starring Nicolas Cage;Instant Watch;https://www.netflix.com/browse/genre/46993
Action Thrillers starring Paul Walker;Instant Watch;https://www.netflix.com/browse/genre/68844
Action Thrillers starring Peter Weller;Instant Watch;https://www.netflix.com/browse/genre/68711
Action Thrillers starring Roy Scheider;Instant Watch;https://www.netflix.com/browse/genre/68536
Action Thrillers starring Sean Connery;Instant Watch;https://www.netflix.com/browse/genre/43459
Action Thrillers starring Simon Yam;Instant Watch;https://www.netflix.com/browse/genre/43859
Action Thrillers starring Steven Bauer;Instant Watch;https://www.netflix.com/browse/genre/69202
Action Thrillers starring Steven Seagal;Instant Watch;https://www.netflix.com/browse/genre/44210
